epoch,step,training_loss
1,101,0.02339555978542194
1,201,0.003122977111488581
1,301,0.0026688039000146093
1,401,0.0020338924089446666
1,501,0.0015328215842600912
1,601,0.0010699677764205262
1,701,0.000802708207629621
1,801,0.0006671954525518231
1,901,0.0005815127986716107
1,1001,0.000498682212055428
1,1101,0.00045056512404698877
1,1201,0.00040148056592443027
1,1301,0.000335845208610408
1,1401,0.0003224391040566843
1,1501,0.00036770893973880447
1,1601,0.00032538111612666397
1,1701,0.00032585842553089605
1,1801,0.0003449641969928052
1,1901,0.0003598022753794794
1,2001,0.0003265153793472564
1,2101,0.0002828262815819471
1,2201,0.0002841381997859571
1,2301,0.00031095276346604806
1,2401,0.0002757147316515329
1,2501,0.0002598601978024817
1,2601,0.0002661976321905968
1,2701,0.0002202937181573361
1,2801,0.0002261316531803459
1,2901,0.00027385258814319966
1,3001,0.00019760460418183357
1,3101,0.00022258744422288146
1,3201,0.00025962487346987474
1,3301,0.0002687681098541361
1,3401,0.0002328296940686414
1,3501,0.00023790194083630922
1,3601,0.0002446317309841106
1,3701,0.00027529664108442373
1,3801,0.0002549404876299377
1,3901,0.00023305077826080378
1,4001,0.00023043635199428535
1,4101,0.0002001544145605294
1,4201,0.00022437849433117662
1,4301,0.00018831125285942107
1,4401,0.00023237506744408165
1,4501,0.00023659941249206895
1,4601,0.0002034192703285953
1,4701,0.00019199445328922594
1,4801,0.00022730395316102658
1,4901,0.0001976194425697031
