epoch,step,training_loss
1,101,0.040480826050043106
1,201,0.027684375643730164
1,301,0.02249162457883358
1,401,0.010590997524559498
1,501,0.009801325388252735
1,601,0.007079772651195526
1,701,0.005463127512484789
1,801,0.005848926492035389
1,901,0.010251504369080067
1,1001,0.005426097195595503
1,1101,0.005902149714529514
1,1201,0.0048384470865130424
1,1301,0.0041856286115944386
1,1401,0.0022549955174326897
1,1501,0.0022559436038136482
1,1601,0.0019988580606877804
1,1701,0.003967332188040018
1,1801,0.0070547121576964855
1,1901,0.002997142029926181
1,2001,0.0018213482107967138
1,2101,0.0034639399964362383
1,2201,0.0030994329135864973
1,2301,0.005575400777161121
1,2401,0.002192913321778178
1,2501,0.004270304925739765
1,2601,0.0014934292994439602
1,2701,0.0032547807786613703
1,2801,0.0027198835741728544
1,2901,0.0007503061788156629
1,3001,0.005249629728496075
1,3101,0.001322005526162684
1,3201,0.0020175741519778967
1,3301,0.005056418944150209
1,3401,0.00391613133251667
1,3501,0.011845091357827187
1,3601,0.000680464378092438
1,3701,0.00030444629373960197
1,3801,0.004239100031554699
1,3901,0.0027381908148527145
1,4001,0.006653934717178345
1,4101,0.002070424612611532
1,4201,0.00023509560560341924
1,4301,0.002080749487504363
1,4401,0.0035947225987911224
1,4501,0.002339624799787998
1,4601,0.0041502309031784534
